jsfx_slider,vst3_id,jsfx_name,ui_name,default,minimum,maximum,step,choices,page,source_occurrences
194,slider194,Zap Comp Gain,Zap Comp Gain,0,-24,24,0.1,,Zap,5
195,slider195,Zap Comp Attack (ms),Zap Comp Attack (ms),2,0.1,100,0.1,,Zap,5
196,slider196,Zap Comp Release (ms),Zap Comp Release (ms),70,1,500,1,,Zap,5
197,slider197,Zap Comp Mix,Zap Comp Mix,0,0,100,0.1,,Zap,5
198,slider198,Snare 2 Engine,Snare 2 Engine,0,0,7,1,"808,Simmons,Acoustic,Saike Type 1,Saike Type 2,Saike Type 3,Hybrid FM,Saike 909 Variant",Snare 2,29
199,slider199,Zap Engine,Zap Engine,0,0,10,1,"LR-608,Clocked Alarm,Particle Beacon,Modal UFO,Karplus Wire,FM Siren,Grain Laser,Chaos Relay,Hyper Spring,Bouncing Coin,Karplus Wire Tune -",Zap,24
200,slider200,Free Slider 200,Free Slider 200,0,0,40,1,,Unexposed,2
201,slider201,Free Slider 201,Free Slider 201,0,0,255,1,,Unexposed,1
202,slider202,Free Slider 202,Free Slider 202,0,-10000,10000,0.000001,,Unexposed,1
203,slider203,Free Slider 203,Free Slider 203,0,0,10,1,,Unexposed,1
204,slider204,Clave/Cowbell Saturation Mix,Clave/Cowbell Saturation Mix,1,0,100,0.01,,Clave / Cowbell,10
205,slider205,Maracas Bounce,Maracas Bounce,0.20000000000000001,0,1,0.01,,Maracas,7
206,slider206,Maracas Ghost Softness,Maracas Ghost Softness,0.20000000000000001,0,1,0.01,,Maracas,5
207,slider207,Clap Engine,Clap Engine,3,0,5,1,"808 Circuit,909 Crunch,Roland 808/909,Saike Type 0,Saike Type 1,Saike Type 2",Clap,28
208,slider208,Clap Resonance,Clap Resonance,0,0,1,0.01,,Clap,6
209,slider209,Rim Engine,Rim Engine,2,0,3,1,"LR-608,Saike Type 0,Saike Type 1,Saike Type 2",Rim,19
210,slider210,Zap Ring Mix,Zap Ring Mix,0,0,1,0.001,,Zap,5
211,slider211,Zap Ring Frequency,Zap Ring Frequency,180,1,8000,1,,Zap,5
212,slider212,Zap Ring Wave,Zap Ring Wave,0,0,5,1,"Sine,Triangle,Saw Up,Saw Down,Square,Noise",Zap,9
213,slider213,Zap Ring Env Freq Mod,Zap Ring Env Freq Mod,0,0,1,0.001,,Zap,5
214,slider214,Cymbal Engine,Cymbal Engine,1,0,3,1,"LR-608,Saike Type 0,Saike Type 1,Saike Type 2",Cymbal,22
215,slider215,Cowbell Engine,Cowbell Engine,2,0,7,1,"LR-608,Saike Type 0,Saike Type 1,Saike Type 2,Saike Type 3,Timbales Physical,Timbales Wave Mesh,Timbales Sample Captured",Clave / Cowbell,27
216,slider216,Maracas Engine,Maracas Engine,3,0,3,1,"LR-608,Saike Type 0,Saike Type 1,Saike Type 2",Maracas,20
217,slider217,HiHat Engine,HiHat Engine,0,0,6,1,"LR-608,Ring Alloy,Noise PM,Modal Shell,Saike Type 0,Saike Type 1,Saike Type 2",HiHat,22
218,slider218,HiHat Structure,HiHat Structure,0.5,0,1,0.01,,HiHat,18
219,slider219,Toms Engine,Toms Engine,0,0,4,1,"808,Simmons,Saike Type 0,Saike Type 1,Saike Type 2",Toms,24
220,slider220,Snare2 Noise Tone Env,Snare2 Noise Tone Env,0,0,10,0.01,,Snare 2,11
221,slider221,Snare2 Level,Snare2 Level,8.1999999999999993,0,50,0.01,,Snare 2,11
222,slider222,Snare2 Click Level,Snare2 Click Level,0.5,0,2,0.01,,Snare 2,10
223,slider223,Snare2 Body Decay,Snare2 Body Decay,0.02,0,1,0.001,,Snare 2,10
224,slider224,Snare2 Body Tune,Snare2 Body Tune,0,-3,1,0.01,,Snare 2,10
225,slider225,Snare2 Body Level,Snare2 Body Level,0.59999999999999998,0,1,0.01,,Snare 2,10
